"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","G/GP"
"Connor Toms","Mar 13, 2004","LD","Soo Greyhounds",30,1,3,4,0.13,0.03
"Nikita Parfenyuk","Sep  9, 2003","D","Oshawa Generals",32,1,3,4,0.13,0.03
"Blake Smith (total)","Oct  5, 2004","D","Flint Firebirds",32,1,3,4,0.13,0.03
"Gavin Grundner","May 12, 2004","LW","Guelph Storm",26,1,2,3,0.12,0.04
"Connor Federkow","Jul 26, 2003","D","London Knights",28,1,2,3,0.11,0.04
"Tomas Hebek","Feb 12, 2004","D","Windsor Spitfires",28,1,2,3,0.11,0.04
"Artyom Kulakov","Feb 14, 2003","D","Erie Otters",29,1,2,3,0.1,0.03
"Dylan Edwards","Jul 20, 2005","C","Erie Otters",30,1,2,3,0.1,0.03
"Zackary Sandhu","Dec 20, 2005","D","Guelph Storm",34,1,2,3,0.09,0.03
"Adrian Rebelo","Jun 22, 2004","LW","Hamilton Bulldogs",35,1,2,3,0.09,0.03
"Isaac Enright (total)","Feb  8, 2003","RD","Guelph Storm",26,1,1,2,0.08,0.04
"Connor Clattenburg","May  2, 2005","LW","Soo Greyhounds",30,1,1,2,0.07,0.03
"Brenden Anderson","Mar  4, 2003","LW","Hamilton Bulldogs",31,1,1,2,0.06,0.03
"Olivier Savard","Jan 14, 2005","D","Saginaw Spirit",31,1,1,2,0.06,0.03
"Matthew Andonovski","Mar 14, 2005","D","Kitchener Rangers",33,0,7,7,0.21,0
"Taos Jordan","Mar 29, 2004","D","Owen Sound Attack",35,0,7,7,0.2,0
"Grayson Tiller","Feb 20, 2005","D","Barrie Colts",31,0,5,5,0.16,0
"Valdemar William Hull (total)","Jan  2, 2005","LW","Niagara IceDogs",32,0,4,4,0.13,0
"Ryan Thompson","Oct 10, 2002","RD","Soo Greyhounds",32,0,4,4,0.13,0
"Kyle Morey","Jun 27, 2005","C","Kitchener Rangers",30,0,3,3,0.1,0
"Ryan Vannetten","Mar 30, 2004","D","Niagara IceDogs",30,0,3,3,0.1,0
"Antonino Pugliese","Apr  9, 2004","RW","Kitchener Rangers",26,0,2,2,0.08,0
"Antonio Tersigni","May  3, 2006","C","Owen Sound Attack",26,0,2,2,0.08,0
"Max Donoso","Jun 11, 2003","G","Ottawa 67's",27,0,2,2,0.07,0
"Cam Gauvreau (total)","Mar  8, 2003","D","Saginaw Spirit",28,0,2,2,0.07,0
"Ranvir Gill-Shane (total)","Jun 17, 2003","D","Hamilton Bulldogs",26,0,1,1,0.04,0
"Brett Brochu","Sep  9, 2002","G","London Knights",27,0,1,1,0.04,0
"Tristan Lennox","Oct 21, 2002","G","Saginaw Spirit",27,0,1,1,0.04,0
"Ryan Struthers","Jan  2, 2004","C","Mississauga Steelheads",28,0,1,1,0.04,0
"Patrick Leaver","Sep  4, 2003","G","Oshawa Generals",29,0,1,1,0.03,0
"Owen MacDonald","Aug 28, 2004","D","Sarnia Sting",30,0,1,1,0.03,0
"Dom DiVincentiis","Mar  4, 2004","G","North Bay Battalion",26,0,0,0,0,0
"Stevie Leskovar","Sep  9, 2004","D","Peterborough Petes",26,0,0,0,0,0
"Alex Messier","Mar 23, 2005","LW","Erie Otters",26,0,0,0,0,0
"Jacob Oster","Mar 26, 2004","G","Guelph Storm",26,0,0,0,0,0
"George Alboim","Mar 15, 2005","D","Erie Otters",27,0,0,0,0,0
"Brayden Turley","Aug  8, 2006","D","North Bay Battalion",27,0,0,0,0,0
"Quinn Binnie","Apr 29, 2004","RW","Mississauga Steelheads",28,0,0,0,0,0
"Will Cranley","Feb 26, 2002","G","Flint Firebirds",29,0,0,0,0,0
"Michael Simpson","Feb  9, 2003","G","Peterborough Petes",29,0,0,0,0,0
"Luc Schweingruber","Mar 29, 2003","D","Owen Sound Attack",27,0,0,0,0,0
"Joe Ranger","Feb 12, 2002","G","Sudbury Wolves",28,0,0,0,0,0
